rank,name,developer,data_safety
384,Two Dots: Fun Dot & Line Games,PlayDots,https://legal.socialpoint.es/privacy?v2.0
385,Candy Crush Soda Saga,King,https://king.com/privacyPolicy
386,Dream League Soccer 2024,First Touch Games Ltd.,https://www.ftgames.com/privacy-policy
387,Temple Run,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
388,Tile Club - Match Puzzle Game,GamoVation,https://www.gamovation.com/legal/privacy-policy.html
389,Words of Wonders: Crossword,Fugo Games,http://fugo.com.tr/privacypolicy-wordsofwonders.html
391,Free Fire: 7th Anniversary,Garena International I,https://content.garena.com/legal/pp/pp_en.html
392,Candy Crush Saga,King,https://king.com/privacyPolicy
393,Roblox,Roblox Corporation,http://www.roblox.com/info/Privacy.aspx
394,8 Ball Pool,Miniclip.com,https://www.miniclip.com/privacy-policy
395,Mobile Legends: Bang Bang,Moonton,https://m.mobilelegends.com/news/articleldetail?newsid=2690279
396,Clash of Clans,Supercell,https://supercell.com/en/privacy-policy/
397,Royal Match,"Dream Games, Ltd.",https://dreamgames.com/en/privacy
398,Free Fire MAX,Garena International I,https://content.garena.com/legal/pp/pp_en.html
399,Subway Surfers,SYBO Games,https://sybogames.com/privacy-policy/
400,Plants vs. Zombies™,ELECTRONIC ARTS,http://privacy.ea.com/en
401,Google Play Games,Google LLC,http://www.google.com/policies/privacy
402,Minion Rush: Running Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
403,Among Us,Innersloth LLC,https://www.innersloth.com/privacy.php
404,Township,Playrix,https://www.playrix.com/privacy/index.html
405,Asphalt 8 - Car Racing Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
406,Crossy Road,HIPSTER WHALE,http://www.crossyroad.com/privacy.html
407,Fruit Ninja®,Halfbrick Studios,https://www.halfbrick.com/pp
408,Minecraft,Mojang,http://go.microsoft.com/fwlink/?LinkId=521839
409,Temple Run 2,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
410,Farm Heroes Saga,King,https://king.com/privacyPolicy
411,Genshin Impact,COGNOSPHERE PTE. LTD.,https://genshin.hoyoverse.com/company/privacy
